train/learning_rate,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss
0.0001,19492,1.6561424732208252,-259.00408935546875,36.671329498291016,-0.29950466752052307
0.0001,19617,1.67500901222229,-265.29803466796875,24.57103729248047,-0.33655959367752075
0.0001,19742,1.694089651107788,-260.88232421875,35.81843566894531,-0.2769451439380646
0.0001,19867,1.7133430242538452,-258.740966796875,39.31015396118164,-0.30824947357177734
0.0001,19992,1.7328497171401978,-264.81005859375,38.65831756591797,-0.37327492237091064
0.0001,20117,1.752584457397461,-259.2525329589844,34.63357925415039,-0.31415513157844543
0.0001,20242,1.7725750207901,-265.56805419921875,30.29694938659668,-0.35113829374313354
0.0001,20367,1.792723536491394,-264.44195556640625,39.65277862548828,-0.347101092338562
0.0001,20492,1.8129985332489014,-265.4805603027344,29.685474395751953,-0.25489217042922974
0.0001,20617,1.8332575559616089,-260.4667663574219,44.39469528198242,-0.30914631485939026
0.0001,20742,1.8538192510604858,-269.82073974609375,27.231449127197266,-0.33647844195365906
0.0001,20867,1.875118374824524,-265.9144592285156,29.521251678466797,-0.30889981985092163
0.0001,20992,1.896288514137268,-269.931396484375,34.58753967285156,-0.33176738023757935
0.0001,21117,1.917646050453186,-267.4805908203125,27.909992218017578,-0.27028313279151917
0.0001,21242,1.9388177394866943,-269.5704345703125,32.97483444213867,-0.34998029470443726
0.0001,21367,1.9606952667236328,-270.65032958984375,28.712034225463867,-0.3647071421146393
0.0001,21492,1.982737421989441,-267.23919677734375,28.600584030151367,-0.3448711633682251
0.0001,21617,2.00475811958313,-271.850341796875,45.41838836669922,-0.33455589413642883
0.0001,21742,2.0270371437072754,-270.70989990234375,33.25383758544922,-0.3602084815502167
0.0001,21867,2.049304723739624,-271.4608154296875,30.691478729248047,-0.3138137459754944
0.0001,21992,2.071805238723755,-273.52874755859375,35.477210998535156,-0.3225010633468628
0.0001,22117,2.0949440002441406,-275.5234069824219,26.455123901367188,-0.3184960186481476
0.0001,22242,2.117906332015991,-275.19622802734375,33.12146759033203,-0.3851361870765686
0.0001,22367,2.140829563140869,-275.01165771484375,33.10076904296875,-0.3145318925380707
0.0001,22492,2.1642305850982666,-272.7080078125,40.95176696777344,-0.33897829055786133
0.0001,22617,2.1880314350128174,-271.6004638671875,33.65073013305664,-0.2513461112976074
0.0001,22742,2.211876153945923,-273.53863525390625,28.15079689025879,-0.41054463386535645
0.0001,22867,2.235590696334839,-278.351806640625,26.359619140625,-0.3163992166519165
0.0001,22992,2.2598085403442383,-278.72503662109375,20.62157440185547,-0.2831820547580719
0.0001,23117,2.28412127494812,-278.6245422363281,30.08062171936035,-0.30994176864624023
0.0001,23242,2.3083620071411133,-280.58477783203125,25.06575584411621,-0.3428957462310791
